week;type_of_media;channel_program;channel_title;distinct_programs_containing_misinformation;misinformation_cases
30/12/2024;Info en continu;Information en continu;BFM TV;1;1
30/12/2024;Info en continu;Information en continu;CNews;3;3
30/12/2024;Média généraliste;Les grandes gueules;RMC;1;1
30/12/2024;Média généraliste;Mettez-vous d'accord;Sud Radio;1;1
30/12/2024;Média généraliste;Pascal Praud et vous;Europe 1;1;1
06/01/2025;Info en continu;Information en continu;LCI;1;1
06/01/2025;Média généraliste;Information en continu;France Info TV;1;1
06/01/2025;Média généraliste;Le Grand Matin;Sud Radio;1;1
06/01/2025;Média généraliste;Télématin;France 2;1;1
13/01/2025;Info en continu;Information en continu;CNews;1;2
13/01/2025;Info en continu;Information en continu;LCI;1;1
13/01/2025;Média généraliste;Estelle Midi;RMC;1;1
13/01/2025;Média généraliste;Information en continu;France Info TV;1;1
13/01/2025;Média généraliste;La Matinale Week-end;RMC;1;1
13/01/2025;Média généraliste;Les grandes gueules;RMC;1;1
13/01/2025;Média généraliste;Punchline;Europe 1;1;1
20/01/2025;Info en continu;Information en continu;BFM TV;2;2
20/01/2025;Info en continu;Information en continu;CNews;2;3
20/01/2025;Info en continu;Information en continu;LCI;1;1
20/01/2025;Média généraliste;Europe 1 Matin;Europe 1;2;2
20/01/2025;Média généraliste;Information en continu;France Info TV;1;2
20/01/2025;Média généraliste;Les grandes gueules;RMC;2;3
20/01/2025;Média généraliste;Soir;Europe 1;1;1
20/01/2025;Média généraliste;Sud Radio dans tous ses états;Sud Radio;1;1
27/01/2025;Info en continu;Information en continu;BFM TV;2;3
27/01/2025;Média généraliste;Information en continu;France Info TV;2;2
27/01/2025;Média généraliste;Mettez-vous d'accord;Sud Radio;1;1
27/01/2025;Média généraliste;Sud Radio dans tous ses états;Sud Radio;2;17
03/02/2025;Info en continu;Information en continu;CNews;1;1
03/02/2025;Média généraliste;Information en continu;FranceinfoRadio;1;1
10/02/2025;Info en continu;Information en continu;BFM TV;1;1
10/02/2025;Info en continu;Information en continu;LCI;1;1
10/02/2025;Média généraliste;JT 20h + météo;France 2;1;1
10/02/2025;Média généraliste;Les grandes gueules;RMC;1;2
10/02/2025;Média généraliste;Sud Radio dans tous ses états;Sud Radio;1;2
10/02/2025;Média généraliste;Télématin;France 2;1;1
17/02/2025;Info en continu;Information en continu;BFM TV;1;1
17/02/2025;Info en continu;Information en continu;CNews;1;1
17/02/2025;Info en continu;Information en continu;LCI;2;2
17/02/2025;Média généraliste;;France Culture;1;1
17/02/2025;Média généraliste;Information en continu;France Info TV;1;2
17/02/2025;Média généraliste;Le Grand Matin;Sud Radio;1;4
17/02/2025;Média généraliste;Pascal Praud et vous;Europe 1;1;1
24/02/2025;Média généraliste;Les grandes gueules;RMC;1;1
03/03/2025;Info en continu;Information en continu;CNews;1;2
03/03/2025;Média généraliste;Information en continu;France Info TV;1;1
03/03/2025;Média généraliste;Le 13/14;France Inter;1;1
03/03/2025;Média généraliste;Mettez-vous d'accord;Sud Radio;1;2
10/03/2025;Info en continu;Information en continu;CNews;3;3
10/03/2025;Média généraliste;;Arte;1;1
10/03/2025;Média généraliste;Bonjour;Europe 1;1;1
10/03/2025;Média généraliste;Europe 1 Matin;Europe 1;1;1
10/03/2025;Média généraliste;Le 19/20;France Inter;1;1
10/03/2025;Média généraliste;Les grandes gueules;RMC;1;1
10/03/2025;Média généraliste;Mettez-vous d'accord;Sud Radio;1;1
17/03/2025;Info en continu;Information en continu;CNews;2;2
17/03/2025;Info en continu;Information en continu;LCI;2;4
17/03/2025;Média généraliste;Le Grand Matin;Sud Radio;2;2
17/03/2025;Média généraliste;Sud Radio dans tous ses états;Sud Radio;1;4
24/03/2025;Info en continu;;LCI;1;1
24/03/2025;Info en continu;Information en continu;CNews;2;4
24/03/2025;Média généraliste; Europe 1 Matin Week-end;Europe 1;1;2
24/03/2025;Média généraliste;Mettez-vous d'accord;Sud Radio;1;1
24/03/2025;Média généraliste;RTL Bonsoir;RTL;1;1
31/03/2025;Média généraliste;Information en continu;France Info TV;1;1
31/03/2025;Média généraliste;Le Grand Matin;Sud Radio;1;1
31/03/2025;Média généraliste;Le Grand Matin Week-end;Sud Radio;1;1
31/03/2025;Média généraliste;Mettez-vous d'accord;Sud Radio;1;1
07/04/2025;Info en continu;;LCI;1;1
07/04/2025;Info en continu;Information en continu;BFM TV;1;2
07/04/2025;Info en continu;Information en continu;CNews;1;1
07/04/2025;Info en continu;Information en continu;LCI;2;4
07/04/2025;Média généraliste;;France Inter;1;1
07/04/2025;Média généraliste;Le Grand Matin;Sud Radio;1;1
07/04/2025;Média généraliste;Les grandes gueules;RMC;1;3
14/04/2025;Info en continu;Information en continu;BFM TV;1;2
14/04/2025;Info en continu;Information en continu;CNews;1;3
14/04/2025;Info en continu;Information en continu;LCI;1;4
14/04/2025;Média généraliste;Bonjour ! La Matinale;TF1;1;1
14/04/2025;Média généraliste;RTL Petit Matin;RTL;1;1
21/04/2025;Info en continu;Information en continu;CNews;2;2
21/04/2025;Média généraliste;Estelle Midi;RMC;1;1
21/04/2025;Média généraliste;Les grandes gueules;RMC;1;1
28/04/2025;Info en continu;Information en continu;BFM TV;3;5
28/04/2025;Info en continu;Information en continu;CNews;3;5
28/04/2025;Info en continu;Information en continu;LCI;1;3
28/04/2025;Média généraliste;Information en continu;France Info TV;1;2
28/04/2025;Média généraliste;L'heure des pros;Europe 1;1;1
28/04/2025;Média généraliste;Sud Radio dans tous ses états;Sud Radio;2;6
05/05/2025;Info en continu;Information en continu;CNews;1;4
05/05/2025;Média généraliste;Le Grand Matin Week-end;Sud Radio;1;1
12/05/2025;Média généraliste;Estelle Midi;RMC;1;1
12/05/2025;Média généraliste;Europe 1 Matin;Europe 1;1;1
12/05/2025;Média généraliste;La Matinale Week-end;RMC;1;1
12/05/2025;Média généraliste;Le Grand Matin;Sud Radio;2;2
12/05/2025;Média généraliste;Les grandes gueules;RMC;1;1
12/05/2025;Média généraliste;Pascal Praud et vous;Europe 1;1;1
19/05/2025;Info en continu;Information en continu;France 24;3;3
19/05/2025;Info en continu;Information en continu;LCI;1;1
19/05/2025;Média généraliste;Information en continu;France Info TV;1;1
19/05/2025;Média généraliste;La Matinale Week-end;RMC;1;1
26/05/2025;Info en continu;Information en continu;BFM TV;3;9
26/05/2025;Info en continu;Information en continu;CNews;3;3
26/05/2025;Info en continu;Information en continu;LCI;3;5
26/05/2025;Média généraliste;28 minutes;Arte;1;1
26/05/2025;Média généraliste;Estelle Midi;RMC;1;2
26/05/2025;Média généraliste;Information en continu;FranceinfoRadio;1;1
26/05/2025;Média généraliste;Information en continu;France Info TV;3;4
26/05/2025;Média généraliste;Le Grand Matin;Sud Radio;1;1
26/05/2025;Média généraliste;Le Grand Matin Week-end;Sud Radio;1;2
26/05/2025;Média généraliste;Les grandes gueules;RMC;1;2
26/05/2025;Média généraliste;L'heure des pros;Europe 1;1;1
26/05/2025;Média généraliste;Pascal Praud et vous;Europe 1;1;1
02/06/2025;Info en continu;Information en continu;CNews;1;1
