channel_title;public;info_continu;radio;climate_change_coverage*;misinfo_cases;misinfo_per_hour_monitored;misinfo_per_hour_dedicated_to_climate_change
Arte;TRUE;FALSE;FALSE;0,05;6;0,23;0,45
BFM TV;FALSE;TRUE;FALSE;0,04;32;0,06;0,16
CNews;FALSE;TRUE;FALSE;0,02;148;0,2;1,02
Europe 1;FALSE;FALSE;TRUE;0,03;60;0,24;0,75
France 2;TRUE;FALSE;FALSE;0,04;3;0,02;0,06
France 24;TRUE;TRUE;FALSE;0,03;8;0,02;0,07
France 3-idf;TRUE;FALSE;FALSE;0,03;1;0,01;0,04
France Culture;TRUE;FALSE;TRUE;0,04;1;0,01;0,03
FranceinfoRadio;TRUE;TRUE;TRUE;0,04;15;0,04;0,09
France Info TV;TRUE;TRUE;FALSE;0,04;48;0,1;0,24
France Inter;TRUE;FALSE;TRUE;0,04;7;0,05;0,13
LCI;FALSE;TRUE;FALSE;0,02;54;0,1;0,41
M6;FALSE;FALSE;FALSE;0,02;0;0;0
RFI;TRUE;FALSE;TRUE;0,07;0;0;0
RMC;FALSE;FALSE;TRUE;0,03;53;0,22;0,75
RTL;FALSE;FALSE;TRUE;0,03;5;0,04;0,11
Sud Radio;FALSE;FALSE;TRUE;0,03;90;0,46;1,47
TF1;FALSE;FALSE;FALSE;0,03;1;0,01;0,03
